,name,size_buy,sex,height,weight,size_review,brightness,color,thickness,review
0,세미와이드히든밴딩슬랙스[베이지],32,남성, 178cm, 72kg,보통이에요,어두워요,선명해요,보통이에요,깔끔 무난합니다예상했던 색보다 사알짝 짙어서 그렇지만나름이뻐요
1,세미와이드히든밴딩슬랙스[블랙],33,남성, 183cm, 84kg,보통이에요,보통이에요,보통이에요,보통이에요,원했던핏입니다. 캐쥬얼하게 입기좋은것같습니다
2,세미와이드히든밴딩슬랙스[미디엄그레이],31,남성, 178cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요,셋업으로 사서 예쁘게 잘 입었습니다.바지는 원하던 느낌내려구 길이만 살짝 줄였어요
3,세미와이드히든밴딩슬랙스[차콜그레이],31,남성, 177cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요,와이드핏 사려고 여기저기 입어봤는데 무신사가 젤 좋네요
4,세미와이드히든밴딩슬랙스[블랙],36,남성, 178cm, 88kg,작아요,보통이에요,선명해요,보통이에요,허벅지랑 엉덩이 있으신분은 생각보다 더 세미와이드느낌이라고 생각하시면 될듯
5,세미와이드히든밴딩슬랙스[블랙],34,남성, 180cm, 95kg,보통이에요,보통이에요,보통이에요,보통이에요,기장도 알맞고 착용감이 훌륭합니다다른색으로 재주문할려구요
6,세미와이드히든밴딩슬랙스[네이비],33,남성, 178cm, 85kg,보통이에요,보통이에요,선명해요,보통이에요,스판이라 너무 좋아요 ㅎㅎ재질도 좋은 것 같고 무신사 스탠다드 제품에 관심이가네요 ㅎㅎ너무 과하지도 않는 세미와이드라 자주 입을 것 같아요!
7,세미와이드히든밴딩슬랙스[더스티크림],28,남성, 175cm, 60kg,보통이에요,밝아요,선명해요,보통이에요,진짜딱 적당한길이감과 핏의 세미와일드팬츠 역시 무탠!
8,세미와이드히든밴딩슬랙스[블랙],28,남성, 175cm, 60kg,보통이에요,밝아요,선명해요,보통이에요,진짜딱 적당한길이감과 핏의 세미와일드팬츠 역시 무탠!
9,세미와이드히든밴딩슬랙스[더스티베이지],28,남성, 170cm, 57kg,보통이에요,어두워요,보통이에요,보통이에요,무탠다드는 항상 무난하고 좋아요 색감이 어두워요
10,세미와이드히든밴딩슬랙스[네이비],38,여성, 166cm, 90kg,보통이에요,보통이에요,보통이에요,보통이에요,길이 수선해서 편하게 잘 입었습니다. 디자인이 깔끔합니다.
11,세미와이드히든밴딩슬랙스[블랙],31,남성, 172cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요,튼튼하고 무난해서 잘 입을 것 같습니다. 길이는 수선이 좀 필요해 보입니다.
12,세미와이드히든밴딩슬랙스[라이트베이지],33,남성, 173cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요,가격 대비 정말 좋은거 같아요. 색깔은 사진과 똑같아서 코디 생각하기 편했던거 같아요
13,세미와이드히든밴딩슬랙스[블루그레이],31,남성, 176cm, 70kg,보통이에요,보통이에요,선명해요,보통이에요,핏 좋고 기장도 아주 좋아요 색감이 너무 좋네요오
14,세미와이드히든밴딩슬랙스[블랙],28,남성, 169cm, 61kg,보통이에요,보통이에요,보통이에요,보통이에요,가성비 너무 좋고 데일리로 입기 좋아요~ 세미 와이드 치고는 기장이 너무 길어 3cm 정도 수선하니 정말 이쁘네요!!
15,세미와이드히든밴딩슬랙스[브라운],29,남성, 178cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요,사이즈는 허리는 조금 타이트한 감이 있지만 나머지 허벅지부턴 꽤 여유롭게 나와서 핏감도 좋고 착용감도 좋네요 만족합니다!!
16,세미와이드히든밴딩슬랙스[미디엄그레이],31,남성, 181cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요,편하고 어디에나 잘 어울려서 자주 손이 갑니다아
17,세미와이드히든밴딩슬랙스[미디엄그레이],32,남성, 180cm, 77kg,보통이에요,보통이에요,선명해요,보통이에요,두꺼워서 여름에 입긴 힘들고 싼가격에 잘 산거 같아요
18,세미와이드히든밴딩슬랙스[블랙],28,남성, 170cm, 61kg,보통이에요,보통이에요,보통이에요,보통이에요,바지 이뻐요 살짝와이드하고 잘 입고있습니다.감사합니다
19,세미와이드히든밴딩슬랙스[다크그레이],31,남성, 167cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요,재질감이나 색감 모두 만족합니다. 입고 다니기도 편해서 잘 산거 같아요 통이 너무 넓지도 않고 적당해서 매우 만족해요
20,세미와이드히든밴딩슬랙스[블랙],31,남성, 170cm, 67kg,보통이에요,보통이에요,선명해요,보통이에요,적당히 투텁고 무탠 와이드핏보다는 통이 작습니다 확실히 차이가 크긴하니 참고하세요
21,세미와이드히든밴딩슬랙스[미디엄그레이],31,남성, 167cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요,재질감이나 색감 모두 만족합니다. 입고 다니기도 편해서 잘 산거 같아요 통이 너무 넓지도 않고 적당해서 매우 만족해요
22,세미와이드히든밴딩슬랙스[미디엄그레이],32,남성, 179cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요,무탠다드 셋업 처음사는데 젛습니다 가성비 갑입니다
23,세미와이드히든밴딩슬랙스[다크브라운],32,남성, 179cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요,무탠다드 셋업 처음사는데 젛습니다 가성비 갑입니다
24,세미와이드히든밴딩슬랙스[블랙],28,남성, 168cm, 52kg,커요,보통이에요,보통이에요,보통이에요,역시 무텐다드라는 생각이드는 바지네요 가성비 굳굳
25,세미와이드히든밴딩슬랙스[미디엄그레이],31,남성, 170cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요,핏도 좋은 거 같고 가격도 너무 착해서 다른 브랜드 슬랙스는 못살거 같아요
26,세미와이드히든밴딩슬랙스[미디엄그레이],29,남성, 171cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요,길이가 조금길어서 수선해서 입었어요색깔은 예뻐요!
27,세미와이드히든밴딩슬랙스[더스티베이지],34,남성, 188cm, 86kg,보통이에요,보통이에요,보통이에요,보통이에요,결혼식 갈 일 있어서 셋업으로 구매했는데 너무 만족스럽네요. 허벅지가 두꺼운 편이라 바지사이즈 걱정했었는데 기장이랑 허벅지는 딱 맞고 허리가 살짝 커요
28,세미와이드히든밴딩슬랙스[블랙],32,남성, 175cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요,기본에 딱 충실합니다. 신축성두 있어서 편하게 입을가같아요~
29,세미와이드히든밴딩슬랙스[브라운],28,남성, 169cm, 62kg,보통이에요,보통이에요,보통이에요,보통이에요,무탠다드 말해뭐해 가성비 깔별로 쟁여놓으세요
30,세미와이드히든밴딩슬랙스[크림],30,남성, 170cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요,여러모로 만족하고 퀄도 좋음 저한테는 살짝 길어서 접었는데 수선하고 입으려구요
31,세미와이드히든밴딩슬랙스[더스티크림],32,남성, 173cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요,"핏이 좋아요이러다가 무탠다드 모든색상 다 구매할듯,,밑위며, 기장이며 한국인 표준 사이즈라 너무 좋습니당"
32,세미와이드히든밴딩슬랙스[블랙],31,남성, 176cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요,무탠다드로 사니까 걱정도안되고 항상 믿고 가는브랜드라서 더 좋은거같네요
33,세미와이드히든밴딩슬랙스[그레이],30,남성, 176cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요,색감도좋고 이 가격에 좋은물건골라서 좋아요 역시 무택다드!
34,세미와이드히든밴딩슬랙스[네이비],33,남성, 177cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요,세미스트릿느낌으로입기나이스합니다나이스굿
35,세미와이드히든밴딩슬랙스[블랙],32,남성, 178cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요,사이즈 딱 좋고 재질도 좋지만 배가 조금 조이는기분이랄까 조콤 앏음
36,세미와이드히든밴딩슬랙스[크림],32,남성, 178cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요,사이즈 딱 좋고 재질도 좋지만 배가 조금 조이는기분이랄까
37,세미와이드히든밴딩슬랙스[브라운],32,남성, 178cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요,사이즈 딱 좋고 재질도 좋지만 배가 조금 조이는기분이랄까
38,세미와이드히든밴딩슬랙스[미디엄그레이],29,남성, 171cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요,제 키 기준으로 바지 다리가 살짝 긴거 말곤 좋아요!
39,세미와이드히든밴딩슬랙스[더스티베이지],31,남성, 177cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요,세미오버핏의 정석이에요. 여유있게입으면 이쁜거같아요. 1업추천드려요. 30입는데 31입으니 딱이에요
40,세미와이드히든밴딩슬랙스[블랙],31,남성, 177cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요,사이즈 적당한와이드로 1업정도 추천드려요. 적당한 세미와이드로 기성비 너무좋아요.
41,세미와이드히든밴딩슬랙스[베이지],29,여성, 170cm, 53kg,보통이에요,보통이에요,보통이에요,보통이에요,밑위가 짧은 건 좀 아쉽지만 핏이랑 색감은 예뻐용
42,세미와이드히든밴딩슬랙스[라이트브라운],32,남성, 170cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요,실물 색상이 더 이쁘네요. 소재도 좋고 기장만 수선하면되는데 키가 작아서 슬프네요 ㅎㅎ
43,세미와이드히든밴딩슬랙스[미디엄그레이],32,남성, 165cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요,실물 색상이 더 이쁘네요. 소재도 좋고 기장만 수선하면되는데 키가 작아서 슬프네요 ㅎㅎ
44,세미와이드히든밴딩슬랙스[블랙],32,여성, 176cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요,"재질, 핏 모두 마음에 들어요다른 색상도 구매할게요"
45,세미와이드히든밴딩슬랙스[미디엄그레이],32,남성, 185cm, 69kg,보통이에요,보통이에요,보통이에요,보통이에요,핏이 딱 생각한대로 나와서 좋고블레이저 말고도다른 옷들이랑도 매치해서 자주 입을듯해요참고로 위아래 셋업은 아닙니다
46,세미와이드히든밴딩슬랙스[베이지],28,남성, 167cm, 64kg,커요,밝아요,선명해요,두꺼워요,신축성도 있고 가격도 좋고 디자인도 무난해서 매치가 쉬워요
47,세미와이드히든밴딩슬랙스[블랙],33,남성, 174cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요,무탠다느가 제일 무난히 예쁜 거 같아요 헤지면 또 살거에욥
48,세미와이드히든밴딩슬랙스[그레이],33,남성, 175cm, 79kg,보통이에요,보통이에요,보통이에요,보통이에요,무탠다드 특성상 역시 무난하네요 생각보다 다 어두워요
49,세미와이드히든밴딩슬랙스[블랙],32,남성, 183cm, 74kg,보통이에요,보통이에요,보통이에요,보통이에요,믿고사는 무탠다드 슬랙스입니다 적극 추천해용
50,세미와이드히든밴딩슬랙스[라이트베이지],32,남성, 183cm, 74kg,보통이에요,보통이에요,보통이에요,보통이에요,상품 배송 빠르고 만족합니다. 역시 무탠 핏 좋네요
51,세미와이드히든밴딩슬랙스[더스티크림],31,남성, 176cm, 70kg,보통이에요,보통이에요,선명해요,보통이에요,기본 스트레이트핏에 기장도 적당해서 편하고 데일리로 아주 좋아요
52,세미와이드히든밴딩슬랙스[블랙],31,남성, 177cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요,무탠다드 슬랙스는 이미 너무 유명하기에 구매했는데 핏이 예술입니다.
53,세미와이드히든밴딩슬랙스[블랙],30,남성, 174cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요,"스타일 후기 작성을 위한 방구석 패션쑈, 품질은 대만족."
54,세미와이드히든밴딩슬랙스[블랙],32,남성, 175cm, 75kg,커요,보통이에요,선명해요,보통이에요,두께는 보통이고 기장이 여유 있는 편입니다. 허벅지가 조금 핏하네요!
