,user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval
0,LV 4 띠쥬부시,남성, 173cm, 63kg,세미 와이드 히든 밴딩 슬랙스 [블랙],29,5,생각보다 기장은 길고 세미와이드보단 정핏이란 말이 어울리는 옷이었습니다. 그래도 좋은 옷이란게 느껴졌습니다,보통이에요,보통이에요,보통이에요,보통이에요
1,LV 4 Upzhak,남성, 173cm, 80kg,세미 와이드 히든 밴딩 슬랙스 [차콜 그레이],31,5,추천드려요 역시 믿고 입는 무탠다드 슬랙스입니다,보통이에요,보통이에요,보통이에요,보통이에요
2,LV 5 뀨ㅋㅋ,남성, 187cm, 73kg,세미 와이드 히든 밴딩 슬랙스 [블랙],32,5,짧지도 않고 길이감도 괜찮고 무엇보다 무척 편하네요!,보통이에요,보통이에요,보통이에요,보통이에요
3,LV 3 입쟈아,남성, 185cm, 85kg,세미 와이드 히든 밴딩 슬랙스 [라이트 카키],34,5,"사이즈도 여유있고 스판도 좋고 가격대비 품질 좋습니다. 평소 33,34입는데 잘맞아요",보통이에요,보통이에요,보통이에요,보통이에요
4,LV 6 쯔오,남성, 178cm, 70kg,세미 와이드 히든 밴딩 슬랙스 [더스티 베이지],32,5,색이 생각했던것보단 어둡지만 잘입겠습니다 감사합니다!,보통이에요,보통이에요,보통이에요,보통이에요
5,LV 6 쯔오,남성, 178cm, 70kg,세미 와이드 히든 밴딩 슬랙스 [블랙],32,5,기장도 넉넉하고 바지가 너무 이뻐서 또 살것같네요,보통이에요,보통이에요,보통이에요,보통이에요
6,LV 5 lookatm,남성, 177cm, 72kg,세미 와이드 히든 밴딩 슬랙스 [더스티 베이지],29,5,바지만 봣을땐 엥? 싶었는데 코디하고 보니 괜찮네요 ㅎㅎ 잘 입을게요,보통이에요,보통이에요,보통이에요,보통이에요
7,LV 3 뉴비_cccb38e,남성, 180cm, 63kg,세미 와이드 히든 밴딩 슬랙스 [크림],30,5,가성비 좋고 색상은 많이 밝아요 여름에 입기 딱인거 같아요,커요,밝아요,보통이에요,보통이에요
8,LV 5 스타일리스트 정,남성, 169cm, 64kg,세미 와이드 히든 밴딩 슬랙스 [더스티 베이지],28,5,세미와이드 핏은 처음 사봤는데 핏이 예술이네요ㅎㅎ 데이트룩으로 잘 입을게요,보통이에요,보통이에요,보통이에요,보통이에요
9,LV 3 뉴비_8700660c,남성, 165cm, 57kg,세미 와이드 히든 밴딩 슬랙스 [라이트 베이지],30,5,세미 와이드라 과하지 않고 색감도 좋고 핏도 여유있고 트렌디하게 입을 수 있어서 좋아요.,보통이에요,보통이에요,보통이에요,보통이에요
10,LV 4 시공부자,남성, 180cm, 75kg,세미 와이드 히든 밴딩 슬랙스 [블랙],32,5,사이즈도 딱맞고 대충입어도 좋을거같아요 감사합니다.,보통이에요,보통이에요,보통이에요,보통이에요
